2048,2048,593.15,128,36.61,363.802,127,40.60,52184460
4096,2048,538.29,128,36.42,39.908,127,36.60,80373132
6144,2048,534.06,128,36.50,30.628,127,36.59,108561804
8192,2048,528.63,128,36.30,29.915,127,36.38,136750476
10240,2048,519.53,128,36.15,30.641,127,36.23,164939148
12288,2048,514.35,128,36.16,30.784,127,36.24,193127820
14336,2048,508.70,128,36.00,30.894,127,36.08,221316492
16384,2048,502.88,128,35.77,30.837,127,35.85,249505164
18432,2048,494.15,128,35.22,31.314,127,35.30,277693836
20480,2048,489.66,128,35.19,31.488,127,35.26,305882508
22528,2048,484.19,128,35.06,31.523,127,35.13,334071180
24576,2048,479.79,128,34.83,32.200,127,34.90,362259852
26624,2048,470.91,128,34.58,32.472,127,34.66,390448524
28672,2048,466.49,128,34.50,31.927,127,34.56,418637196
30720,2048,461.55,128,34.39,31.926,127,34.45,446825868
32768,2048,457.36,128,34.13,32.229,127,34.20,475014540
34816,2048,449.51,128,33.87,33.375,127,33.94,503203212
36864,2048,446.83,128,33.87,32.724,127,33.94,531391884
38912,2048,442.20,128,33.78,32.877,127,33.85,559580556
40960,2048,437.62,128,33.63,32.969,127,33.69,587769228
43008,2048,430.77,128,33.42,33.563,127,33.49,615957900
45056,2048,426.76,128,33.36,33.524,127,33.43,644146572
47104,2048,422.66,128,33.17,33.040,127,33.23,672335244
49152,2048,418.84,128,33.17,33.777,127,33.23,700523916
51200,2048,413.25,128,32.89,34.106,127,32.95,728712588
53248,2048,410.33,128,32.83,33.901,127,32.89,756901260
55296,2048,406.11,128,32.66,34.279,127,32.73,785089932
57344,2048,403.17,128,32.59,34.093,127,32.65,813278604
59392,2048,396.64,128,32.43,34.614,127,32.50,841467276
61440,2048,394.08,128,32.31,34.344,127,32.37,869655948
63488,2048,390.38,128,32.23,34.808,127,32.30,897844620
65536,2048,387.26,128,31.78,40.558,127,31.88,0
